sfla,BuildingType,LocationType
5865.0,Single Family Home,Out of State
5043.0,Single Family Home,Out of State
4026.0,Single Family Home,In-County
4964.0,Single Family Home,Out of State
3539.0,Single Family Home,In-State (Out of County)
5462.0,Single Family Home,In-State (Out of County)
6716.0,Single Family Home,Out of State
4261.0,Single Family Home,Out of State
4899.0,Single Family Home,In-County
6048.0,Single Family Home,Out of State
4088.0,Single Family Home,Out of State
4224.0,Single Family Home,Out of State
5784.0,Single Family Home,In-State (Out of County)
5151.0,Single Family Home,In-State (Out of County)
7102.0,Single Family Home,In-State (Out of County)
4831.0,Single Family Home,Out of State
3606.0,Single Family Home,In-County
5042.0,Single Family Home,Out of State
5169.0,Single Family Home,In-State (Out of County)
7155.0,Single Family Home,Out of State
1234.0,Single Family Home,Out of State
5911.0,Single Family Home,Out of State
5406.0,Single Family Home,Out of State
8580.0,Single Family Home,Out of State
5375.0,Single Family Home,In-County
10295.0,Single Family Home,Out of State
3455.0,Single Family Home,In-County
2216.0,Single Family Home,In-County
700.0,Apartment/Condo/Townhome,In-County
3024.0,Single Family Home,In-County
1524.0,Single Family Home,In-County
2070.0,Single Family Home,In-County
1708.0,Single Family Home,In-State (Out of County)
700.0,Apartment/Condo/Townhome,In-County
1120.0,Single Family Home,In-State (Out of County)
2463.0,Single Family Home,In-State (Out of County)
4310.0,Single Family Home,Out of State
2280.0,Single Family Home,Out of State
2900.0,Single Family Home,Out of State
2463.0,Single Family Home,In-State (Out of County)
252.0,Single Family Home,In-State (Out of County)
1185.0,Single Family Home,In-State (Out of County)
1405.0,Single Family Home,In-County
1200.0,Single Family Home,In-State (Out of County)
770.0,Single Family Home,In-County
1257.0,Single Family Home,In-State (Out of County)
1236.0,Single Family Home,Out of State
936.0,Single Family Home,Out of State
2631.0,Single Family Home,In-County
888.0,Single Family Home,Out of State
3004.0,Single Family Home,In-State (Out of County)
2952.0,Single Family Home,In-State (Out of County)
2524.0,Single Family Home,In-County
2237.0,Single Family Home,In-State (Out of County)
3092.0,Single Family Home,Out of State
2018.0,Single Family Home,Out of State
1722.0,Single Family Home,In-County
1368.0,Single Family Home,Out of State
2480.0,Single Family Home,In-State (Out of County)
2059.0,Single Family Home,In-County
2080.0,Single Family Home,In-County
2396.0,Single Family Home,In-State (Out of County)
1344.0,Single Family Home,In-State (Out of County)
1976.0,Single Family Home,Out of State
1908.0,Single Family Home,In-County
1968.0,Single Family Home,In-State (Out of County)
4060.0,Single Family Home,Out of State
3941.0,Single Family Home,In-State (Out of County)
2679.0,Single Family Home,In-County
4885.0,Single Family Home,Out of State
4447.0,Single Family Home,Out of State
3628.0,Single Family Home,In-County
5064.0,Single Family Home,Out of State
1585.0,Single Family Home,Out of State
1272.0,Single Family Home,In-State (Out of County)
2100.0,Single Family Home,In-County
974.0,Single Family Home,In-County
2050.0,Single Family Home,In-County
1214.0,Single Family Home,Out of State
1500.0,Single Family Home,In-State (Out of County)
2168.0,Single Family Home,Out of State
4217.0,Single Family Home,In-County
2665.0,Single Family Home,In-County
3077.0,Single Family Home,In-State (Out of County)
2200.0,Single Family Home,In-County
700.0,Apartment/Condo/Townhome,In-State (Out of County)
4571.0,Single Family Home,Out of State
2914.0,Single Family Home,In-State (Out of County)
1872.0,Single Family Home,In-State (Out of County)
2418.0,Single Family Home,In-County
2288.0,Single Family Home,Out of State
3852.0,Single Family Home,In-County
2305.0,Single Family Home,In-State (Out of County)
3830.0,Single Family Home,In-County
4312.0,Single Family Home,Out of State
3927.0,Single Family Home,Out of State
2400.0,Single Family Home,In-State (Out of County)
2771.0,Single Family Home,Out of State
1872.0,Single Family Home,In-County
2333.0,Single Family Home,In-State (Out of County)
1546.0,Apartment/Condo/Townhome,In-County
700.0,Apartment/Condo/Townhome,In-County
2364.0,Single Family Home,Out of State
2524.0,Single Family Home,In-State (Out of County)
